NO;Nilai;Kurs Jual;Kurs Beli;Tanggal
127;1;16390.37;16225.79;6/26/2023
128;1;16488.85;16318.84;6/23/2023
129;1;16431.61;16262.14;6/22/2023
130;1;16542.07;16374.48;6/21/2023
131;1;16476.41;16306.5;6/20/2023
132;1;16434.59;16265.1;6/19/2023
133;1;16264.19;16096.4;6/16/2023
134;1;16152.07;15985.41;6/15/2023
135;1;16134.74;15968.28;6/14/2023
136;1;16103.88;15937.72;6/13/2023
137;1;16087.11;15921.14;06/12/2023
138;1;16049.9;15884.28;06/09/2023
139;1;15970.42;15810.03;06/08/2023
140;1;15975.01;15814.59;06/07/2023
141;1;15991.86;15826.81;06/06/2023
142;1;16098.79;15932.64;06/05/2023
143;1;16086.38;15920.37;5/31/2023
144;1;16147.86;15981.23;5/30/2023
145;1;16149.31;15984.14;5/29/2023
146;1;16114.7;15948.4;5/26/2023
147;1;16152.42;15985.77;5/25/2023
148;1;16154.56;15990.86;5/24/2023
149;1;16182.68;16015.72;5/23/2023
150;1;16177.01;16010.1;5/22/2023
151;1;16200.64;16033.52;5/19/2023
152;1;16210.22;16043.03;5/17/2023
153;1;16190.08;16023.09;5/16/2023
154;1;16174.9;16008.09;5/15/2023
155;1;16180.48;16013.62;05/12/2023
156;1;16242.42;16077.87;05/11/2023
157;1;16284.2;16116.3;05/10/2023
158;1;16339.15;16175.1;05/09/2023
159;1;16267.82;16100.11;05/08/2023
160;1;16262.44;16094.8;05/05/2023
161;1;16310.69;16144.0;05/04/2023
162;1;16223.13;16055.87;05/03/2023
163;1;16209.21;16045.0;05/02/2023
164;1;16382.83;16213.96;4/28/2023
165;1;16483.46;16313.52;4/27/2023
166;1;16378.9;16210.03;4/26/2023
167;1;16322.64;16154.35;4/18/2023
168;1;16312.02;16143.87;4/17/2023
169;1;16367.42;16201.62;4/14/2023
170;1;16323.8;16159.9;4/13/2023
171;1;16307.56;16139.37;04/12/2023
172;1;16351.64;16183.02;04/11/2023
173;1;16376.82;16212.37;04/10/2023
174;1;16433.4;16263.93;04/06/2023
175;1;16373.92;16205.05;04/05/2023
176;1;16330.41;16161.95;04/04/2023
177;1;16379.47;16213.5;04/03/2023
178;1;16428.52;16262.06;3/31/2023
179;1;16440.67;16272.58;3/30/2023
180;1;16412.91;16246.59;3/29/2023
181;1;16404.29;16238.04;3/28/2023
182;1;16530.4;16359.89;3/27/2023
183;1;16534.86;16364.22;3/24/2023
184;1;16471.57;16301.56;3/21/2023
185;1;16469.18;16300.72;3/20/2023
186;1;16469.73;16299.72;3/17/2023
187;1;16584.53;16416.44;3/16/2023
188;1;16524.97;16359.01;3/15/2023
189;1;16572.6;16401.58;3/14/2023
190;1;16474.95;16307.94;3/13/2023
191;1;16377.83;16208.73;03/10/2023
192;1;16377.65;16208.54;03/09/2023
193;1;16494.7;16324.45;03/08/2023
194;1;16377.04;16208.0;03/07/2023
195;1;16331.63;16163.04;03/06/2023
196;1;16324.04;16155.55;03/03/2023
197;1;16314.79;16147.9;03/02/2023
198;1;16235.17;16067.56;03/01/2023
199;1;16203.85;16036.54;2/28/2023
200;1;16191.25;16028.63;2/27/2023
201;1;16201.6;16038.89;2/24/2023
202;1;16294.32;16129.16;2/23/2023
203;1;16278.5;16113.5;2/22/2023
204;1;16310.91;16144.08;2/21/2023
205;1;16254.13;16086.34;2/20/2023
206;1;16328.66;16160.15;2/17/2023
207;1;16355.66;16189.9;2/16/2023
208;1;16362.74;16196.91;2/15/2023
209;1;16342.65;16173.98;2/14/2023
210;1;16353.83;16185.08;2/13/2023
211;1;16314.0;16150.16;02/10/2023
212;1;16343.51;16174.87;02/09/2023
213;1;16316.23;16147.87;02/08/2023
214;1;16311.94;16143.66;02/07/2023
215;1;16315.52;16147.25;02/06/2023
216;1;16429.1;16262.67;02/03/2023
217;1;16394.77;16228.66;02/02/2023
218;1;16337.1;16171.56;02/01/2023
219;1;16372.62;16203.74;1/31/2023
220;1;16371.52;16204.15;1/30/2023
221;1;16422.39;16253.03;1/27/2023
222;1;16358.68;16189.96;1/26/2023
223;1;16349.07;16180.45;1/25/2023
224;1;16476.15;16306.2;1/24/2023
225;1;16423.4;16253.96;1/20/2023
226;1;16473.81;16305.39;1/19/2023
227;1;16498.41;16328.22;1/18/2023
228;1;16349.92;16181.27;1/17/2023
229;1;16544.81;16374.13;1/16/2023
230;1;16619.57;16451.15;1/13/2023
231;1;16770.31;16598.79;01/12/2023
232;1;16820.03;16648.02;01/11/2023
233;1;16713.07;16540.57;01/10/2023
234;1;16523.97;16353.34;01/09/2023
235;1;16646.59;16474.74;01/06/2023
236;1;16626.82;16455.15;01/05/2023
237;1;16651.9;16483.1;01/04/2023
238;1;16717.18;16544.64;01/03/2023
239;1;16694.78;16522.45;01/02/2023
240;1;16799.34;16625.92;12/30/2022
241;1;16807.31;16633.83;12/29/2022
242;1;16750.78;16577.86;12/28/2022
243;1;16704.17;16531.74;12/27/2022
244;1;16667.91;16495.86;12/26/2022
245;1;16682.81;16510.61;12/23/2022
246;1;16674.62;16502.5;12/22/2022
247;1;16655.44;16483.5;12/21/2022
248;1;16689.71;16517.44;12/20/2022
249;1;16693.29;16520.98;12/19/2022
250;1;16721.33;16548.72;12/16/2022
251;1;16687.58;16515.33;12/15/2022
252;1;16619.14;16447.53;12/14/2022
253;1;16545.52;16374.66;12/13/2022
254;1;16556.26;16385.33;12/12/2022
255;1;16520.2;16352.71;12/09/2022
256;1;16417.59;16251.13;12/08/2022
257;1;16428.75;16262.18;12/07/2022
258;1;16320.75;16152.21;12/06/2022
259;1;16312.47;16144.01;12/05/2022
260;1;16329.16;16160.48;12/02/2022
261;1;16379.18;16209.94;12/01/2022
262;1;16411.93;16243.94;11/30/2022
263;1;16394.11;16224.72;11/29/2022
264;1;16395.09;16230.4;11/28/2022
265;1;16379.41;16210.19;11/25/2022
266;1;16314.97;16149.51;11/24/2022
267;1;16217.87;16050.25;11/23/2022
268;1;16199.11;16034.81;11/22/2022
269;1;16369.74;16200.61;11/21/2022
270;1;16394.47;16225.11;11/18/2022
271;1;16324.98;16156.33;11/17/2022
272;1;16281.57;16113.37;11/16/2022
273;1;16098.31;15936.58;11/15/2022
274;1;15951.95;15787.04;11/14/2022
275;1;15784.23;15620.94;11/11/2022
276;1;15840.82;15676.97;11/10/2022
277;1;15760.84;15597.78;11/09/2022
278;1;15660.07;15498.0;11/08/2022
279;1;15455.69;15300.33;11/07/2022
280;1;15415.85;15256.21;11/04/2022
281;1;15554.08;15393.08;11/03/2022
282;1;15624.6;15466.01;11/02/2022
283;1;15572.1;15410.95;11/01/2022
284;1;15543.17;15386.97;10/31/2022
285;1;15754.16;15594.31;10/28/2022
286;1;15728.84;15570.78;10/27/2022
287;1;15485.35;15325.05;10/26/2022
288;1;15406.3;15246.79;10/25/2022
289;1;15360.17;15201.12;10/24/2022
290;1;15328.11;15169.38;10/21/2022
291;1;15316.24;15157.69;10/20/2022
292;1;15325.58;15166.94;10/19/2022
293;1;15166.91;15009.83;10/18/2022
294;1;15105.02;14948.6;10/17/2022
295;1;14976.94;14824.87;10/14/2022
296;1;15001.81;14846.43;10/13/2022
297;1;14978.73;14826.63;10/12/2022
298;1;14925.0;14773.44;10/11/2022
299;1;15018.85;14863.34;10/10/2022
300;1;15138.59;14986.43;10/07/2022
301;1;15183.4;15026.28;10/06/2022
302;1;15162.01;15005.06;10/05/2022
303;1;15080.52;14924.37;10/04/2022
304;1;15072.41;14920.92;10/03/2022
305;1;14793.06;14639.78;9/30/2022
306;1;14680.41;14528.26;9/29/2022
307;1;14690.08;14542.41;9/28/2022
308;1;14703.8;14551.49;9/27/2022
309;1;14771.7;14618.75;9/26/2022
310;1;14877.01;14725.98;9/23/2022
311;1;14953.3;14798.53;9/22/2022
312;1;15099.54;14943.34;9/21/2022
313;1;15021.78;14866.35;9/20/2022
314;1;14952.13;14801.88;9/19/2022
315;1;14943.55;14788.92;9/16/2022
316;1;14979.61;14824.63;9/15/2022
317;1;15157.85;15001.1;9/14/2022
318;1;15171.19;15014.34;9/13/2022
319;1;15072.42;14916.53;09/12/2022
320;1;14957.05;14805.27;09/09/2022
321;1;14887.63;14738.0;09/08/2022
322;1;14919.03;14769.11;09/07/2022
323;1;14859.65;14708.82;09/06/2022
324;1;14958.03;14803.26;09/05/2022
325;1;15004.79;14854.01;09/02/2022
326;1;14937.71;14783.17;09/01/2022
327;1;14992.73;14840.59;8/31/2022
328;1;14880.64;14726.66;8/30/2022
329;1;14846.38;14695.71;8/29/2022
330;1;14907.1;14752.86;8/26/2022
331;1;14859.58;14705.82;8/25/2022
332;1;14867.19;14713.32;8/24/2022
333;1;14956.41;14806.11;8/23/2022
334;1;15065.19;14909.37;8/22/2022
335;1;15141.9;14985.33;8/19/2022
336;1;15078.28;14922.38;8/18/2022
337;1;15148.46;14993.32;8/16/2022
338;1;15195.43;15038.38;8/15/2022
339;1;15356.37;15197.67;08/12/2022
340;1;15257.34;15104.04;08/11/2022
341;1;15257.44;15102.67;08/10/2022
342;1;15298.37;15144.65;08/09/2022
343;1;15327.52;15169.08;08/08/2022
344;1;15272.22;15114.3;08/05/2022
345;1;15271.92;15117.0;08/04/2022
346;1;15305.08;15148.35;08/03/2022
347;1;15298.16;15142.98;08/02/2022
348;1;15286.75;15131.69;08/01/2022
349;1;15349.98;15195.76;7/29/2022
350;1;15306.43;15151.14;7/28/2022
351;1;15391.72;15237.08;7/27/2022
352;1;15353.23;15194.5;7/26/2022
353;1;15313.53;15155.17;7/25/2022
354;1;15387.88;15233.29;7/22/2022
355;1;15396.24;15240.06;7/21/2022
356;1;15430.07;15270.57;7/20/2022
357;1;15280.82;15122.81;7/19/2022
358;1;15120.73;14964.29;7/18/2022
359;1;15129.77;14973.25;7/15/2022
360;1;15123.17;14966.74;7/14/2022
361;1;15083.04;14926.98;7/13/2022
362;1;15215.34;15058.0;07/12/2022
363;1;15232.06;15074.54;07/11/2022
364;1;15368.17;15209.29;07/08/2022
365;1;15461.3;15301.48;07/07/2022
366;1;15527.44;15369.96;07/06/2022
367;1;15694.83;15532.71;07/05/2022
368;1;15731.21;15571.71;07/04/2022
369;1;15617.48;15456.16;07/01/2022
370;1;15690.74;15528.7;6/30/2022
371;1;15796.91;15633.83;6/29/2022
372;1;15750.72;15588.1;6/28/2022
373;1;15731.89;15569.45;6/27/2022
374;1;15648.68;15487.06;6/24/2022
375;1;15689.98;15532.38;6/23/2022
376;1;15739.46;15576.95;6/22/2022
377;1;15700.42;15538.29;6/21/2022
378;1;15683.01;15521.06;6/20/2022
379;1;15420.63;15264.26;6/17/2022
380;1;15550.34;15386.81;6/16/2022
381;1;15489.49;15333.9;6/15/2022
382;1;15447.24;15287.7;6/14/2022
383;1;15545.25;15384.77;6/13/2022
384;1;15672.2;15514.81;06/10/2022
385;1;15544.57;15384.13;06/09/2022
386;1;15529.15;15368.88;06/08/2022
387;1;15627.29;15466.04;06/07/2022
388;1;15598.15;15441.51;06/06/2022
389;1;15597.18;15440.54;06/03/2022
390;1;15732.57;15570.22;06/02/2022
391;1;15731.98;15573.99;5/31/2022
392;1;15720.4;15561.08;5/30/2022
393;1;15705.82;15546.63;5/27/2022
394;1;15770.36;15607.61;5/25/2022
395;1;15697.8;15535.76;5/24/2022
396;1;15581.53;15420.66;5/23/2022
397;1;15538.97;15381.42;5/20/2022
398;1;15512.36;15352.17;5/19/2022
399;1;15447.22;15287.69;5/18/2022
400;1;15290.07;15135.02;5/17/2022
401;1;15313.14;15154.97;5/13/2022
402;1;15456.38;15299.69;05/12/2022
403;1;15460.77;15301.14;05/11/2022
404;1;15350.15;15191.63;05/10/2022
405;1;15304.76;15149.59;05/09/2022
406;1;15347.9;15193.75;4/28/2022
407;1;15473.32;15313.62;4/27/2022
408;1;15604.86;15443.84;4/26/2022
409;1;15583.1;15425.19;4/25/2022
410;1;15750.68;15588.25;4/22/2022
411;1;15637.16;15475.85;4/21/2022
412;1;15585.22;15428.71;4/20/2022
413;1;15574.79;15414.1;4/19/2022
414;1;15730.15;15569.35;4/18/2022
415;1;15637.21;15475.91;4/14/2022
416;1;15683.07;15521.31;4/13/2022
417;1;15757.5;15594.99;04/12/2022
418;1;15691.39;15529.54;04/11/2022
419;1;15699.27;15541.63;04/08/2022
420;1;15768.25;15605.63;04/07/2022
421;1;15821.34;15658.2;04/06/2022
422;1;15908.95;15749.22;04/05/2022
423;1;15963.13;15800.0;04/04/2022
424;1;16059.24;15898.02;04/01/2022
425;1;16086.35;15920.57;3/31/2022
426;1;15854.86;15691.38;3/30/2022
427;1;15854.78;15694.16;3/29/2022
428;1;15877.04;15713.35;3/28/2022
429;1;15850.11;15686.68;3/25/2022
430;1;15891.0;15727.17;3/24/2022
431;1;15878.54;15717.69;3/23/2022
432;1;15936.13;15771.86;3/22/2022
433;1;15949.43;15789.3;3/21/2022
434;1;15875.15;15715.76;3/18/2022
435;1;15809.31;15650.58;3/17/2022
436;1;15836.19;15677.19;3/16/2022
437;1;15776.25;15613.57;3/15/2022
438;1;15783.65;15620.91;3/14/2022
439;1;15884.03;15720.29;03/11/2022
440;1;15814.93;15654.71;03/10/2022
441;1;15772.25;15609.58;03/09/2022
442;1;15737.29;15574.97;03/08/2022
443;1;15923.54;15763.67;03/07/2022
444;1;16019.36;15854.24;03/04/2022
445;1;16195.63;16028.76;03/02/2022
446;1;16141.98;15978.51;03/01/2022
447;1;16236.66;16069.38;2/25/2022
448;1;16371.51;16202.9;2/24/2022
449;1;16352.06;16183.64;2/23/2022
450;1;16356.26;16187.81;2/22/2022
451;1;16395.05;16226.21;2/21/2022
452;1;16332.92;16164.71;2/18/2022
453;1;16341.09;16172.8;2/17/2022
454;1;16305.4;16137.47;2/16/2022
455;1;16300.24;16132.34;2/15/2022
456;1;16442.45;16273.13;2/14/2022
457;1;16482.93;16317.5;02/11/2022
458;1;16493.78;16326.8;02/10/2022
459;1;16491.02;16322.64;02/09/2022
460;1;16550.43;16380.02;02/08/2022
461;1;16552.94;16382.51;02/07/2022
462;1;16327.45;16159.27;02/04/2022
463;1;16277.32;16113.92;02/03/2022
464;1;16157.69;15991.19;02/02/2022
465;1;16101.99;15936.04;1/31/2022
466;1;16196.1;16033.51;1/28/2022
467;1;16273.29;16109.94;1/27/2022
468;1;16301.33;16136.27;1/26/2022
469;1;16305.02;16139.93;1/25/2022
470;1;16346.53;16181.02;1/24/2022
471;1;16383.35;16218.9;1/21/2022
472;1;16372.73;16204.09;1/20/2022
473;1;16402.08;16237.45;1/19/2022
474;1;16453.05;16286.49;1/18/2022
475;1;16491.32;16325.81;1/17/2022
476;1;16495.36;16325.53;1/14/2022
477;1;16338.37;16174.37;1/13/2022
478;1;16311.95;16143.96;01/12/2022
479;1;16316.3;16152.53;01/11/2022
480;1;16325.25;16161.38;01/10/2022
481;1;16338.69;16170.39;01/07/2022
482;1;16317.95;16149.86;01/06/2022
483;1;16239.65;16072.36;01/05/2022
484;1;16276.0;16108.37;01/04/2022
485;1;16239.2;16073.36;01/03/2022
486;1;16208.9;16044.78;12/31/2021
487;1;16182.85;16016.15;12/30/2021
488;1;16202.59;16037.12;12/29/2021
489;1;16174.64;16008.04;12/28/2021
490;1;16202.12;16035.24;12/27/2021
491;1;16202.77;16038.72;12/24/2021
492;1;16161.64;15996.57;12/23/2021
493;1;16298.33;16134.73;12/22/2021
494;1;16294.71;16128.28;12/21/2021
495;1;16317.46;16149.39;12/20/2021
496;1;16317.46;16149.39;12/17/2021
497;1;16247.24;16079.87;12/16/2021
498;1;16272.68;16105.05;12/15/2021
499;1;16257.43;16094.24;12/14/2021
500;1;16308.15;16143.01;12/13/2021
501;1;16330.89;16162.68;12/10/2021
502;1;16275.56;16110.76;12/09/2021
503;1;16317.56;16152.33;12/08/2021
504;1;16388.32;16220.94;12/07/2021
505;1;16347.97;16183.87;12/06/2021
506;1;16363.06;16194.52;12/03/2021
507;1;16320.18;16152.08;12/02/2021
508;1;16338.78;16170.51;12/01/2021
509;1;16256.4;16090.36;11/30/2021
510;1;16148.2;15981.83;11/29/2021
511;1;16110.88;15944.89;11/26/2021
512;1;16097.55;15931.7;11/25/2021
513;1;16164.97;15998.44;11/24/2021
514;1;16144.28;15979.39;11/23/2021
515;1;16201.16;16034.29;11/22/2021
516;1;16210.07;16047.36;11/19/2021
517;1;16219.03;16051.98;11/18/2021
518;1;16245.84;16078.54;11/17/2021
519;1;16344.34;16178.89;11/16/2021
520;1;16395.51;16228.12;11/15/2021
521;1;16470.28;16302.13;11/12/2021
522;1;16563.15;16395.51;11/11/2021
523;1;16575.67;16409.32;11/10/2021
524;1;16594.92;16428.37;11/09/2021
525;1;16686.42;16516.1;11/08/2021
526;1;16636.19;16466.38;11/05/2021
527;1;16653.43;16486.3;11/04/2021
528;1;16608.28;16440.19;11/03/2021
529;1;16555.11;16384.72;11/02/2021
530;1;16596.04;16425.26;11/01/2021
531;1;16544.64;16374.36;10/29/2021
532;1;16532.86;16366.94;10/28/2021
533;1;16529.22;16360.52;10/27/2021
534;1;16605.82;16437.76;10/26/2021
535;1;16566.99;16400.74;10/25/2021
536;1;16538.75;16369.97;10/22/2021
537;1;16499.37;16329.59;10/21/2021
538;1;16407.62;16240.15;10/19/2021
539;1;16429.04;16261.36;10/18/2021
540;1;16528.93;16358.83;10/15/2021
541;1;16517.39;16348.79;10/14/2021
542;1;16519.89;16349.85;10/13/2021
543;1;16527.46;16357.35;10/12/2021
544;1;16517.75;16351.98;10/11/2021
545;1;16542.85;16372.58;10/08/2021
546;1;16543.84;16373.55;10/07/2021
547;1;16622.87;16451.8;10/06/2021
548;1;16667.35;16495.83;10/05/2021
549;1;16659.66;16488.19;10/04/2021
550;1;16702.62;16530.73;10/01/2021
551;1;16778.32;16605.68;9/30/2021
552;1;16749.53;16577.19;9/29/2021
553;1;16752.37;16584.26;9/28/2021
554;1;16810.28;16637.35;9/27/2021
555;1;16794.44;16621.65;9/24/2021
556;1;16806.25;16633.35;9/23/2021
557;1;16800.34;16630.34;9/22/2021
558;1;16772.8;16600.23;9/21/2021
559;1;16851.74;16679.82;9/20/2021
560;1;16850.5;16678.59;9/17/2021
561;1;16938.69;16764.47;9/16/2021
562;1;16938.9;16766.1;9/15/2021
563;1;16898.04;16724.22;9/14/2021
564;1;16936.63;16766.69;9/13/2021
565;1;16972.5;16797.94;09/10/2021
566;1;16956.76;16782.36;09/09/2021
567;1;16945.13;16772.29;09/08/2021
568;1;16980.48;16810.11;09/07/2021
569;1;17018.18;16847.43;09/06/2021
570;1;17001.86;16831.27;09/03/2021
571;1;16962.36;16789.32;09/02/2021
572;1;16999.99;16827.99;09/01/2021
573;1;17050.46;16876.51;8/31/2021
574;1;17045.56;16871.65;8/30/2021
575;1;17052.06;16876.65;8/27/2021
576;1;17016.94;16841.89;8/26/2021
577;1;16966.5;16791.95;8/25/2021
578;1;16994.79;16819.95;8/24/2021
579;1;16971.15;16800.85;8/23/2021
580;1;16928.42;16755.68;8/20/2021
581;1;16943.78;16770.9;8/19/2021
582;1;17040.91;16867.05;8/18/2021
583;1;16980.31;16805.62;8/16/2021
584;1;16990.17;16815.39;8/13/2021
585;1;16967.78;16797.52;08/12/2021
586;1;16984.4;16813.97;08/10/2021
587;1;17058.98;16886.38;08/09/2021
588;1;17061.51;16890.32;08/06/2021
589;1;17060.25;16884.79;08/05/2021
590;1;17153.14;16976.75;08/04/2021
591;1;17266.86;17089.3;08/03/2021
592;1;17304.55;17126.61;08/02/2021
593;1;17298.48;17120.59;7/30/2021
594;1;17236.89;17059.61;7/29/2021
595;1;17151.93;16975.5;7/28/2021
596;1;17165.13;16990.0;7/27/2021
597;1;17157.39;16982.34;7/26/2021
598;1;17200.66;17023.74;7/23/2021
599;1;17228.87;17051.65;7/22/2021
600;1;17183.14;17006.38;7/21/2021
601;1;17239.06;17066.08;7/19/2021
602;1;17270.53;17094.36;7/16/2021
603;1;17163.95;16987.4;7/15/2021
604;1;17251.74;17074.32;7/14/2021
605;1;17283.77;17107.47;7/13/2021
606;1;17299.26;17121.34;07/12/2021
607;1;17290.49;17112.65;07/09/2021
608;1;17236.35;17061.96;07/08/2021
609;1;17225.94;17051.66;07/07/2021
610;1;17277.54;17104.18;07/06/2021
611;1;17316.82;17140.17;07/05/2021
612;1;17307.56;17129.56;07/02/2021
613;1;17375.43;17196.75;07/01/2021
614;1;17343.78;17165.43;6/30/2021
615;1;17370.33;17194.61;6/29/2021
616;1;17341.78;17166.35;6/28/2021
617;1;17335.07;17161.14;6/25/2021
618;1;17338.56;17160.28;6/24/2021
619;1;17242.45;17069.45;6/23/2021
620;1;17276.36;17103.01;6/22/2021
621;1;17242.64;17065.34;6/21/2021
622;1;17267.62;17090.08;6/18/2021
623;1;17380.22;17201.6;6/17/2021
624;1;17362.93;17184.5;6/16/2021
625;1;17313.24;17139.56;6/15/2021
626;1;17375.15;17198.02;6/14/2021
627;1;17415.3;17236.35;06/11/2021
628;1;17475.17;17297.03;06/10/2021
629;1;17452.24;17274.33;06/09/2021
630;1;17443.18;17265.35;06/08/2021
631;1;17427.68;17249.99;06/07/2021
632;1;17513.75;17335.22;06/04/2021
633;1;17477.98;17299.81;06/03/2021
634;1;17524.86;17344.79;06/02/2021
635;1;17542.61;17363.79;06/01/2021
636;1;17542.61;17363.79;5/31/2021
637;1;17537.87;17359.1;5/28/2021
638;1;17664.03;17483.99;5/27/2021
639;1;17602.03;17421.17;5/26/2021
640;1;17602.03;17421.17;5/25/2021
641;1;17661.31;17482.72;5/24/2021
642;1;17636.47;17456.68;5/21/2021
643;1;17573.63;17395.92;5/20/2021
644;1;17563.41;17382.96;5/19/2021
645;1;17440.4;17262.6;5/18/2021
646;1;17368.63;17194.39;5/17/2021
647;1;17369.64;17192.57;5/14/2021
648;1;17369.64;17192.57;5/13/2021
649;1;17369.64;17192.57;05/12/2021
650;1;17369.64;17192.57;05/11/2021
651;1;17357.48;17180.5;05/10/2021
652;1;17383.61;17204.93;05/07/2021
653;1;17409.09;17232.99;05/06/2021
654;1;17408.14;17230.62;05/05/2021
655;1;17519.9;17341.26;05/04/2021
656;1;17571.22;17392.07;05/03/2021
657;1;17617.08;17440.34;4/30/2021
658;1;17612.8;17434.66;4/29/2021
659;1;17572.26;17394.53;4/28/2021
660;1;17622.27;17441.15;4/27/2021
661;1;17637.0;17458.61;4/26/2021
662;1;17564.07;17384.96;4/23/2021
663;1;17560.72;17381.65;4/22/2021
